Police_Station	LongitudeY	LatitudeX
COFIMVABA	-32.00375	27.58411
COLENSO	-28.73492	29.82205
COLESBERG	-30.7197	25.09446
COLIGNY	-26.3307	26.31738
COMMITTEES	-33.16014	26.83654
CONVILLE	-33.98272	22.47327
COOKHOUSE	-32.75007	25.8005
CORNELIA	-27.23861	28.85422
CRADOCK	-32.1756	25.62571
CRAMOND	-29.41448	30.42808
CREIGHTON	-30.02955	29.84284
CRYSTALPARK	-26.12412	28.37297
CULLINAN	-25.67528	28.52028
CUMBERLAND	-23.976	26.91968
CYFERSKUIL	-25.0764	28.24066
DA GAMASKOP	-34.17631	22.11733
DALASILE	-31.62187	28.19333
DALTON	-29.34421	30.63626
DANIELSKUIL	-28.18239	23.54306
DANNHAUSER	-28.01441	30.05658
DARLING	-33.37637	18.38199
DAVEL	-26.4479	29.66766
DAVEYTON	-26.15328	28.4156
DAWN PARK	-26.315	28.2477
DE AAR	-30.6606	24.00504
DE DEUR	-26.51511	27.91079
DE DOORNS	-33.47424	19.66581
DE RUST	-33.48874	22.53451
DEALESVILLE	-28.67602	25.76379
DEBEN	-27.5982	22.88325
DELAREYVILLE	-26.69094	25.4567
DELFT	-33.97502	18.64209
DELMAS	-26.14512	28.68756
DELPORTSHOOP	-28.41605	24.31019
DENEYSVILLE	-26.88716	28.09493
DENNILTON	-25.25865	29.14743
DESPATCH	-33.80317	25.47264
DEVON	-26.3563	28.78603
DEWETSDORP	-29.58358	26.66246
DIENTJIE	-24.61384	30.80467
DIEPKLOOF	-26.23883	27.94192
DIEPRIVIER	-34.03161	18.46485
DIEPSLOOT	-25.92322	28.02203
DIMBAZA	-32.83365	27.20597
DINGLETON	-27.78413	22.98298
DIRKIESDORP	-27.17452	30.40569
DOBSONVILLE	-26.2155	27.8704
DONNYBROOK	-29.92982	29.87938
DORDRECHT	-31.3794	27.04719
DORING BAY	-31.81174	18.23678
DORINGKLOOF	-32.45969	26.51463
DORSET	-24.06064	28.16096
DOUGLAS	-29.05651	23.77278
DOUGLASDALE	-26.0263	27.9907
DUBE	-25.40502	28.02384
DUDUDU	-30.19282	30.61743
DUDUZA	-26.3754	28.4177
DULLSTROOM	-25.41676	30.10594
DUNCAN VILLAGE	-33.00505	27.88872
DUNDEE	-28.16235	30.23368
DUNNOTTAR	-26.35129	28.4388
DURBAN CENTRAL	-29.84229	31.02748
DURBAN NORTH	-29.77732	31.04827
