Police_Station	LongitudeY	LatitudeX
NALEDI	-26.2545	27.8321
NAMAHADI	-28.58345	28.82841
NAMAKGALE	-23.933	31.02834
NAPIER	-34.4756	19.89561
NAVALSIG	-29.10568	26.23765
NDEVANA	-32.91955	27.48999
NDUMO	-26.9201	32.26491
NDWEDWE	-29.51506	30.93596
NEBO	-24.86798	29.75343
NELSPRUIT	-25.46928	30.9792
NEMATO	-33.57672	26.89275
NEW BRIGHTON	-33.90752	25.5845
NEW HANOVER	-29.35433	30.52769
NEWARK	-29.19994	31.4125
NEWCASTLE	-27.76069	29.93826
NEWLANDS EAST	-29.78514	30.97478
NGANGELIZWE	-31.60532	28.79572
Ngcobo	-31.67635	27.99961
NGODWANA	-25.5708	30.67429
NGOME	-27.83284	31.38986
Ngqamakhwe	-32.20241	27.94282
NGQELENI	-31.67193	29.03225
NHLANHLENI	-28.55147	30.42224
NIEKERKSHOOP	-29.32683	22.83759
NIETVERDIEND	-25.02325	26.15879
NIEUWOUDTVILLE	-31.37425	19.11703
NIGEL	-26.42076	28.47217
NKANDLA	-28.62028	31.09171
NOENIEPUT	-27.51294	20.14278
NONDWENI	-28.19908	30.80476
NONGOMA	-27.89904	31.64726
NORKEMPARK	-26.05456	28.22334
NORMANDIEN	-27.98656	29.78067
NORTHAM	-24.9599	27.26438
NORVALSPONT	-30.63228	25.45104
NORWOOD	-26.1612	28.07833
NOTTINGHAM ROAD	-29.35132	29.99044
NOUPOORT	-31.17601	24.95116
NQUTHU	-28.21219	30.67726
NSUZE	-29.37678	30.94349
NTABAMHLOPHE	-29.10312	29.6086
NTABANKULU	-30.95517	29.30275
NTABETHEMBA	-32.03171	26.48029
NTAMBANANA	-28.60502	31.74294
NTUZUMA	-29.7344	30.95097
NUWERUS	-31.14968	18.35712
NYANGA	-33.98896	18.58342
NYONI	-29.07975	31.46301
OCEAN VIEW	-34.14435	18.34645
ODENDAALSRUS	-27.87226	26.68751
OGIES	-26.05064	29.05272
OHRIGSTAD	-24.75191	30.55652
OLIEVENHOUTBOSCH	-25.9176	28.0955
OLIFANTSFONTEIN	-25.95135	28.23211
OLIFANTSHOEK	-27.94753	22.73744
ONSEEPKANS	-28.74154	19.30395
OR TAMBO INTERN AIRP	-26.13293	28.22985
ORANGE FARMS	-26.47848	27.8672
ORANJEVILLE	-26.98908	28.20446
ORKNEY	-26.97781	26.66994
ORLANDO	-26.23877	27.91915
OSIZWENI	-27.79043	30.12937
OTTOSDAL	-26.81203	25.99991
OTTOSHOOP	-25.75138	25.96256
OUDTSHOORN	-33.58986	22.20401
PAARL	-33.73854	18.96916
PAARL EAST	-33.71148	18.99406
PABALELLO	-28.44386	21.2221
PACALTSDORP	-34.02196	22.45031
PADDOCK	-30.7586	30.2498
PALMIETFONTEIN	-30.42178	27.54181
PAMPIERSTAT	-27.77091	24.69018
PARK ROAD	-29.11994	26.21159
PARKVIEW	-26.15951	28.02657
PAROW	-33.90469	18.59561
PARYS	-26.89837	27.4567
PATENSIE	-33.75645	24.81577
PATERSON	-33.43978	25.96983
PAUL ROUX	-28.29686	27.95304
PAULPIETERSBURG	-27.42332	30.81722
PEARSTON	-32.58076	25.13783
PEDDIE	-33.19855	27.11446
PELLA	-29.0335	19.15277
PERDEKOP	-27.16835	29.62148
PETRUS STEYN	-27.64711	28.13161
PETRUSBURG	-29.11293	25.41366
PETRUSVILLE	-30.07724	24.65858
PHALABORWA	-23.95261	31.13608
PHILADELPHIA	-33.66565	18.58239
PHILIPPI	-34.00107	18.54054
PHILIPPI EAST	-34.01031	18.60685
PHILIPPOLIS	-30.26739	25.27314
PHILIPSTOWN	-30.43415	24.47417
PHOENIX	-29.70143	31.00799
PHOKENG	-25.57313	27.16254
PHUMALANGA	-30.57749	27.57751
PHUTHADITJHABA	-28.51524	28.82656
PIENAAR	-25.43437	31.1846
PIENAARSRIVIER	-25.20246	28.2964
PIET PLESSIS	-26.1624	24.40795
PIET RETIEF	-27.00637	30.80584
PIETERMARITZBURG	-29.60476	30.37979
PIKETBERG	-32.90627	18.75449
Pilgrim Rest	-24.90998	30.7564
PINELANDS	-33.92691	18.50137
PINETOWN	-29.81797	30.87201
PLESSISLAER	-29.64513	30.33879
PLETTENBERG BAY	-34.05783	23.37196
PLOOYSBURG	-29.02645	24.23761
POFADDER	-29.12586	19.39496
POINT	-29.86189	31.03983
POLOKWANE	-23.91312	29.45481
PONGOLA	-27.37626	31.61623
PORT ALFRED	-33.59043	26.88904
PORT EDWARD	-31.05239	30.21723
PORT NOLLOTH	-29.25463	16.86932
PORT SHEPSTONE	-30.73368	30.4489
PORT ST JOHNS	-31.62894	29.54424
PORTERVILLE	-33.01164	18.99274
POSTMASBURG	-28.33124	23.0668
POTCHEFSTROOM	-26.71531	27.09456
PRESTBURY	-29.60667	30.33822
PRETORIA CENTRAL	-25.74846	28.18472
PRETORIA MOOT	-25.71295	28.21685
PRETORIA NORTH	-25.67133	28.174
PRETORIA WEST	-25.74808	28.158
PRIESKA	-29.6724	22.74069
PRIMROSE	-26.18914	28.15795
PRINCE ALBERT	-33.21944	22.02828
PRINCE ALFRED HAMLET	-33.29353	19.32863
PROTEA GLEN	-26.27697	27.83896
PUDIMOE	-27.4108	24.71941
PUNZANA	-33.06903	27.44577
PUTFONTEIN	-26.10332	28.41908
QUEENSTOWN	-31.89704	26.87144
QUMBU	-31.16497	28.87266
RABIE RIDGE	-26.0206	28.17065
Rakgoadi	-24.969385	29.296715
RANDBURG	-26.0765	27.997
RANDFONTEIN	-26.18076	27.7062
Ranking Pass	-24.52865	27.9136
RATANDA	-26.55351	28.32785
RAVENSMEAD	-33.92226	18.5973
RAWSONVILLE	-33.68464	19.30908
REDDERSBURG	-29.65303	26.16737
REDELINGHUYS	-32.47741	18.53737
REIGERPARK	-26.22976	28.22545
REITZ	-27.79927	28.43171
REIVILO	-27.57072	24.1833
RHODES	-30.79379	27.96674
RICHARDS BAY	-28.74824	32.05469
Richmond(C)	-31.41508	23.94401
RICHMOND-KZN	-29.87238	30.26986
RIEBEECK EAST	-33.20341	26.15276
RIEBEEK WEST	-33.35093	18.8727
RIETBRON	-32.90126	23.1522
RIETFONTEIN	-26.74269	20.0294
RIETGAT	-25.49786	28.09001
RIETVLEI	-29.17992	30.34741
RITAVI	-23.88811	30.28361
RIVERSDALE	-34.09338	21.26123
RIVIERSONDEREND	-34.15086	19.92037
ROADSIDE	-27.51842	28.8493
ROBERTSON	-33.80517	19.87543
ROEDTAN	-24.59628	29.08164
RONDEBOSCH	-33.96262	18.46833
ROODEPAN	-28.67237	24.73012
ROODEPOORT	-26.15501	27.8735
ROOIBERG	-24.77912	27.73079
ROOSSENEKAL	-25.19819	29.92706
ROSEBANK	-26.14538	28.03842
ROSEDALE	-28.4542	21.20795
ROSENDAL	-28.50406	27.9302
ROSSOUW	-31.16777	27.27997
ROUXVILLE	-30.42054	26.83419
RUST DE WINTER	-25.20296	28.60761
RUSTENBURG	-25.66821	27.24845
SAAMBOUBRUG	-22.56206	28.58481
SABIE	-25.09528	30.78207
SAKHILE	-26.96305	29.22101
SALDANHA	-33.00962	17.93958
SANDRINGHAM	-26.13648	28.11834
SANDTON	-26.08026	28.0615
SANNIESHOF	-26.52925	25.80644
SARON	-33.18409	18.99944
SASELAMANI	-22.83111	30.85767
SASOLBURG	-26.81351	27.82882
SAWOTI	-30.27408	30.49026
SCHOEMANSDAL	-25.68235	31.49894
SCHWEIZER-RENEKE	-27.18943	25.33134
SCOTTBURGH	-30.28763	30.75576
SEA POINT	-33.90553	18.39946
SEAFIELD	-33.53064	27.04722
SEBAYENG	-23.781327	29.6929333
SEBENZA	-26.1325	28.1819
SEBOKENG	-26.60924	27.84813
SECUNDA	-26.50187	29.18622
SEKGOSESE	-23.41238	30.15034
SEKHUKHUNE	-24.75217	30.0156
SELOSESHA	-29.19424	26.81939
SENEKAL	-28.3212	27.6226
SENWABARWANA	-23.28572	29.13931
SESHEGO	-23.85429	29.38227
SETLAGOLE	-26.27157	25.11376
SEVEN FOUNTAINS	-33.44057	26.3261
SEVERN	-26.58681	22.85903
SEYMOUR	-32.55177	26.76792
SHARPEVILLE	-26.68133	27.87801
SHEEPMOOR	-26.71503	30.29458
SILOAM	-22.89731	30.18623
SILVERTON	-25.73355	28.29632
Simon Town	-34.19313	18.43659
SINOVILLE	-25.67601	28.22617
SIYABUSWA	-25.11259	29.05024
SKUKUZA	-24.99523	31.59017
SMITHFIELD	-30.20976	26.53167
SOMERSET EAST	-32.7182	25.59114
SOMERSET WEST	-34.07682	18.84466
SOPHIA TOWN	-26.17733	27.97173
SOSHANGUVE	-25.5287	28.1126
SOUTHPORT	-30.66458	30.50909
SOUTPAN	-28.72135	26.06093
SPRINGBOK	-29.66587	17.88498
SPRINGFONTEIN	-30.26625	25.70502
SPRINGS	-26.24489	28.44266
ST FAITHS	-30.52934	30.20243
ST FRANCIS BAY	-34.16691	24.82673
ST HELENA BAY	-32.75816	18.02407
STANDERTON	-26.94646	29.24147
STANFORD	-34.43881	19.45789
STEENBERG	-34.06542	18.47621
STEINKOPF	-29.26636	17.73565
STELLA	-26.54945	24.86213
STELLENBOSCH	-33.93575	18.85592
STERKSPRUIT	-30.52837	27.37134
STERKSTROOM	-31.55052	26.55598
STEUNMEKAAR	-29.49944	25.52628
STEVE VUKILE TSHWETE	-32.72903	27.46567
STEYNSBURG	-31.29284	25.82328
STEYNSRUS	-27.95346	27.56381
STEYTLERVILLE	-33.32752	24.34185
STILFONTEIN	-26.84451	26.7773
STILL BAY	-34.37743	21.41184
STORMS RIVER	-33.97407	23.8889
STRAND	-34.11592	18.83286
STRANDFONTEIN	-34.07212	18.57684
STRUISBAAI	-34.80059	20.05088
STRYDENBURG	-29.94306	23.67684
STUTTERHEIM	-32.57118	27.42741
SULENKAMA	-31.01688	28.68437
SUN CITY	-25.36291	27.09869
SUNDRA	-26.18637	28.55062
SUNDUMBILI	-29.13495	31.40266
SUNNYSIDE	-25.75444	28.2077
SUNRISE	-30.64993	24.02046
SUTHERLAND	-32.39583	20.66037
SUURBRAAK	-34.0046	20.654
SWARTBERG	-30.24156	29.33874
SWARTKOPS	-33.85136	25.60443
SWARTRUGGENS	-25.6489	26.68895
SWELLENDAM	-34.02047	20.44455
SYDENHAM	-29.83128	30.97629
TABASE	-30.52585	28.31933
TABLE BAY HARBOUR	-33.91001	18.42454
TABLE VIEW	-33.82635	18.4893
TAMARA	-32.97844	27.28339
TARKASTAD	-32.00705	26.25755
TARLTON	-26.09221	27.66759
TAUNG	-27.54507	24.77898
TAYLORS HALT	-29.68305	30.19095
TEMBA	-25.38881	28.26037
TEMBISA	-26.00749	28.22014
TEMBISA SOUTH	-26.025975	28.208876
THABA-NCHU	-29.2112	26.84379
THABAZIMBI	-24.59703	27.40775
THABONG	-27.97483	26.78051
THE BARRAGE	-26.76453	27.6795
THEMBALETHU	-34.00341	22.48547
THEUNISSEN	-28.40042	26.71208
Thina Falls	-31.22086	29.02187
THOHOYANDOU	-22.97234	30.45594
THOMAS RIVER	-32.45155	27.25308
THORNHILL	-33.90226	25.14084
THORNHILL CISKEI	-31.98433	26.6089
THORNVILLE	-29.73621	30.38723
TIERPOORT	-29.44394	26.09008
TINMYNE	-24.03597	28.77543
TLHABANE	-25.64737	27.21433
TOKOZA	-26.32987	28.14338
TOLWE	-22.98531	28.57513
TOM BURKE	-23.0688	27.99936
TONGA	-25.6883	31.78474
TONGAAT	-29.5731	31.11518
TOUWS RIVER	-33.33927	20.03179
TOWN HILL	-29.58544	30.35122
TRICHARDT	-26.4936	29.22408
TROMPSBURG	-30.03372	25.78074
TSAKANE	-26.35194	28.36975
TSEKI	-28.58429	28.77262
TSESENG	-28.62038	28.85396
TSHAMUTUMBU	-22.38491	30.54586
TSHAULU	-22.80382	30.74773
TSHIDILAMOLOMO	-25.82608	24.67348
TSHILWAVHUSIKU	-23.09599	29.74204
TSHITALE	-23.35999	29.98902
TSINENG	-27.08513	23.07619
TSOLO	-31.31138	28.75858
TSOMO	-32.03707	27.81802
TUBATSE	-24.58143	30.32297
TUINPLAAS	-24.90246	28.73605
TULBAGH	-33.28503	19.14052
TUMAHOLE	-26.92008	27.48537
TWEEFONTEIN	-25.40626	28.80638
TWEELING	-27.5544	28.51549
TWEESPRUIT	-29.18634	27.02513
TYEFU	-33.12668	26.90461
TYLDEN	-32.11508	27.0706
TZANEEN	-23.82788	30.16194
UGIE	-31.19953	28.2349
UITENHAGE	-33.76565	25.40085
ULUNDI	-28.2959	31.42827
UMBILO	-29.87218	30.99136
UMBUMBULU	-29.99128	30.70896
UMHLALI	-29.46864	31.21969
UMKOMAAS	-30.20719	30.79157
UMLAZI	-29.96252	30.92848
UMSUNDUZI	-29.6644	30.63848
UMZIMKHULU	-30.26423	29.93638
UMZINTO	-30.30925	30.67228
UNIONDALE	-33.6573	23.12582
UPINGTON	-28.45019	21.25989
UPPER TUGELA	-28.81018	29.15404
UTRECHT	-27.65619	30.31941
VAAL MARINA	-26.87308	28.2312399
VAALBANK	-25.15941	28.85709
VAALWATER	-24.2936	28.11371
VAL	-26.79825	28.94027
VAN REENEN	-28.37872	29.38561
VAN STADENSRUS	-29.9874	27.01634
VAN ZYLSRUS	-26.87679	22.05007
VANDERBIJLPARK	-26.69897	27.83306
VANDERKLOOF	-29.99861	24.74164
VANRHYNSDORP	-31.6083	18.74001
VANWYKSVLEI	-30.35067	21.82435
VENTERSBURG	-28.08577	27.13605
VENTERSDORP	-26.31736	26.82122
VENTERSTAD	-30.77378	25.80117
VEREENIGING	-26.67931	27.92999
VERENA	-25.48245	29.02751
VERKEERDEVLEI	-28.83224	26.77901
VERKYKERSKOP	-27.91964	29.28102
VERULAM	-29.64474	31.04136
VICTORIA WEST	-31.40416	23.11399
VIERFONTEIN	-27.08004	26.75187
VILJOENSDRIF	-26.72698	27.92026
VILJOENSKROON	-27.20688	26.94658
VILLA NORA	-23.52831	28.12587
VILLIERIA	-25.718203	28.245436
VILLIERS	-27.02611	28.59953
VILLIERSDORP	-33.99243	19.28734
VIOOLSDRIF	-28.76911	17.62354
VIRGINIA	-28.10392	26.87201
VOLKSRUST	-27.374	29.88684
VORSTERSHOOP	-25.83738	23.02448
VOSBURG	-30.57359	22.8814
VOSLOORUS	-26.3423	28.211
VOSMAN	-25.86707	29.12743
VREDE	-27.42321	29.16897
VREDEFORT	-27.00656	27.36753
VREDENBURG	-32.90673	18.00228
VREDENDAL	-31.66088	18.51031
VRYBURG	-26.95942	24.72628
VRYHEID	-27.76738	30.79561
VULINDLELA	-32.92197	27.71242
VUWANI	-23.12982	30.4208
WAKKERSTROOM	-27.35712	30.1484
WALMER	-33.97903	25.58483
WANDA	-29.60004	24.43268
WARDEN	-27.85385	28.96409
WARRENTON	-28.11489	24.84885
WARTBURG	-29.4337	30.5768
WASBANK	-28.31341	30.10001
WATERPOORT	-22.90039	29.62656
WATERVAL	-23.16397	30.07076
WATERVAL BOVEN	-25.64433	30.32545
WEDELA	-26.4567	27.383
WEENEN	-28.85307	30.08461
WELBEKEND	-25.96476	28.46994
WELKOM	-27.97365	26.73691
WELLINGTON	-33.64022	19.00515
WEMBEZI	-29.04502	29.78917
WENTWORTH	-29.94177	30.98088
WEPENER	-29.73115	27.037
WESSELSBRON	-27.85679	26.36327
WESTENBURG	-23.904444	29.4301222
WESTONARIA	-26.323	27.65058
WESTVILLE	-29.82968	30.93246
WHITTLESEA	-32.17097	26.82443
WIERDABRUG	-25.82374	28.15524
WILLISTON	-31.3428	20.91551
WILLOWMORE	-33.29543	23.48728
WILLOWVALE	-32.267	28.50661
WINBURG	-28.52163	27.0096
WINDSORTON	-28.32664	24.71082
WINTERTON	-28.81443	29.54016
WITBANK	-25.88794	29.23129
WITDRAAI	-26.95574	20.7058
WITPOORT	-23.33168	28.00687
WITRIVIER	-25.3283	31.0179
WOLMARANSSTAD	-27.20175	25.98018
WOLSELEY	-33.4144	19.20104
WOLWEFONTEIN	-33.29291	24.82834
WONDERBOOMPOORT	-25.70428	28.18587
WOODSTOCK	-33.92897	18.44814
WORCESTER	-33.64546	19.44373
WRENCHVILLE	-27.45275	23.46428
WYNBERG	-34.00399	18.46505
YEOVILLE	-26.1829	28.06281
ZAAIPLAAS	-25.16611	29.75124
ZAMDELA	-26.84416	27.85671
ZAMUXOLO	-30.59053	28.26695
ZASTRON	-30.30455	27.08167
ZEBEDIELA	-24.29829	29.24406
ZEERUST	-25.53974	26.07897
ZELE	-32.77056	27.37591
ZONKIZIZWE	-26.40597	28.17933
ZWELITSHA	-32.91425	27.42121
